mvalorarriendo,mareac,mnrocuartos,mnrobanos,mnrogarajes,mzona_nombre
680000,68.0,3.0,1.0,0.0,Oriente
1500000,80.0,2.0,2.0,1.0,Noroccidente
850000,62.0,3.0,2.0,1.0,Otros
1400000,70.0,2.0,2.0,1.0,Noroccidente
1100000,95.0,4.0,3.0,4.0,Noroccidente
3500000,125.0,3.0,3.0,2.0,Noroccidente
2500000,80.0,2.0,2.0,1.0,Noroccidente
850000,58.0,2.0,2.0,1.0,Oriente
1660800,90.0,3.0,2.0,1.0,Otros
950000,56.0,2.0,2.0,0.0,Otros
530000,5.0,1.0,1.0,0.0,Oriente
520000,20.0,1.0,1.0,0.0,Oriente
650000,68.0,3.0,1.0,1.0,Oriente
1445861,118.0,3.0,3.0,1.0,Otros
1600000,79.0,3.0,2.0,1.0,Otros
1100000,119.0,3.0,2.0,0.0,Noroccidente
3100000,140.0,2.0,3.0,2.0,Noroccidente
1300000,71.0,2.0,2.0,1.0,Noroccidente
1170000,67.0,3.0,2.0,1.0,Noroccidente
1000000,90.0,3.0,2.0,1.0,Suroccidente
1450000,79.0,3.0,3.0,1.0,Noroccidente
1100000,73.0,2.0,2.0,1.0,Noroccidente
600000,50.0,1.0,1.0,0.0,Suroccidente
1310000,135.0,3.0,3.0,1.0,Noroccidente
900000,68.0,3.0,2.0,1.0,Noroccidente
1250000,117.0,3.0,2.0,1.0,Noroccidente
1830000,150.0,3.0,2.0,1.0,Noroccidente
1495000,101.0,2.0,2.0,1.0,Otros
900000,43.0,1.0,1.0,0.0,Noroccidente
1444000,96.0,3.0,2.0,1.0,Noroccidente
1340000,132.0,3.0,2.0,1.0,Noroccidente
8000000,212.0,4.0,5.0,1.0,Noroccidente
1300000,65.0,2.0,2.0,0.0,Noroccidente
1450000,78.0,3.0,2.0,0.0,Noroccidente
1200000,55.0,1.0,1.0,0.0,Noroccidente
1600000,80.0,3.0,2.0,0.0,Noroccidente
950000,70.0,2.0,2.0,0.0,Suroccidente
1125000,75.0,3.0,2.0,0.0,Suroccidente
3500000,268.0,4.0,2.0,1.0,Noroccidente
1210000,90.0,2.0,2.0,1.0,Noroccidente
1300000,71.0,2.0,2.0,1.0,Noroccidente
830400,70.0,2.0,2.0,0.0,Suroccidente
1343000,76.0,2.0,2.0,1.0,Noroccidente
1030000,67.0,3.0,2.0,1.0,Noroccidente
1490000,70.0,3.0,2.0,1.0,Noroccidente
1320000,92.0,3.0,2.0,1.0,Noroccidente
1088000,67.0,3.0,2.0,0.0,Noroccidente
1338000,69.0,3.0,2.0,1.0,Noroccidente
2300000,124.0,3.0,2.0,1.0,Noroccidente
800000,67.0,2.0,1.0,1.0,Suroccidente
1600000,42.0,2.0,1.0,1.0,Noroccidente
3620000,164.0,3.0,3.0,1.0,Noroccidente
